Protein accession,Sequence MD digest,Sequence length,Library (analysis),Signature Accession,Signature Description,Start,End,E-value,Status,Date,Interpro accession,Interpro description,GO term,pathways
sp|O75477|ERLN1_HUMAN,69b6eb52050aa11440be2e0feb5d12f7,348,Phobius,SIGNAL_PEPTIDE,Signal peptide region,1,23,-,T,4/11/25,-,-,-,-
sp|O75477|ERLN1_HUMAN,69b6eb52050aa11440be2e0feb5d12f7,348,Gene3D,G3DSA:3.30.479.30,Band 7 domain,52,190,1.00E-08,T,4/11/25,IPR036013,Band 7/SPFH domain superfamily,-,Reactome:R-BTA-382556|Reactome:R-BTA-5213460|Reactome:R-BTA-5673000|Reactome:R-BTA-5675482|Reactome:R-BTA-8849932|Reactome:R-BTA-8949664|Reactome:R-BTA-8980692|Reactome:R-BTA-9013106|Reactome:R-BTA-9696264|Reactome:R-BTA-9696273|Reactome:R-BTA-9840373|Reactome:R-CEL-2672351|Reactome:R-CEL-373753|Reactome:R-CEL-382556|Reactome:R-CEL-5673000|Reactome:R-CEL-6798695|Reactome:R-CEL-8949664|Reactome:R-CEL-8980692|Reactome:R-CEL-9013026|Reactome:R-CEL-9013406|Reactome:R-CEL-9013407|Reactome:R-DDI-6798695|Reactome:R-DME-2672351|Reactome:R-DME-373753|Reactome:R-DME-5673000|Reactome:R-DME-6798695|Reactome:R-DME-8849932|Reactome:R-DME-8949664|Reactome:R-DME-8980692|Reactome:R-DME-9013026|Reactome:R-DME-9013406|Reactome:R-DME-9013407|Reactome:R-DRE-382556|Reactome:R-DRE-6798695|Reactome:R-DRE-8849932|Reactome:R-DRE-8980692|Reactome:R-DRE-9696264|Reactome:R-DRE-9696273|Reactome:R-HSA-2672351|Reactome:R-HSA-373753|Reactome:R-HSA-382556|Reactome:R-HSA-5213460|Reactome:R-HSA-5655302|Reactome:R-HSA-5673000|Reactome:R-HSA-5675482|Reactome:R-HSA-5678895|Reactome:R-HSA-6798695|Reactome:R-HSA-6802946|Reactome:R-HSA-6802955|Reactome:R-HSA-8849932|Reactome:R-HSA-8853336|Reactome:R-HSA-8949664|Reactome:R-HSA-8980692|Reactome:R-HSA-9013026|Reactome:R-HSA-9013106|Reactome:R-HSA-9013148|Reactome:R-HSA-9013406|Reactome:R-HSA-9013407|Reactome:R-HSA-9013409|Reactome:R-HSA-9649948|Reactome:R-HSA-9696264|Reactome:R-HSA-9696273|Reactome:R-HSA-9840373|Reactome:R-MMU-2672351|Reactome:R-MMU-373753|Reactome:R-MMU-382556|Reactome:R-MMU-5213460|Reactome:R-MMU-5673000|Reactome:R-MMU-5675482|Reactome:R-MMU-6798695|Reactome:R-MMU-8849932|Reactome:R-MMU-8949664|Reactome:R-MMU-8980692|Reactome:R-MMU-9013026|Reactome:R-MMU-9013106|Reactome:R-MMU-9013406|Reactome:R-MMU-9013407|Reactome:R-MMU-9696264|Reactome:R-MMU-9696273|Reactome:R-MMU-9840373|Reactome:R-RNO-373753|Reactome:R-RNO-382556|Reactome:R-RNO-5213460|Reactome:R-RNO-5673000|Reactome:R-RNO-5675482|Reactome:R-RNO-6798695|Reactome:R-RNO-8849932|Reactome:R-RNO-8949664|Reactome:R-RNO-8980692|Reactome:R-RNO-9013026|Reactome:R-RNO-9696264|Reactome:R-RNO-9696273|Reactome:R-RNO-9840373|Reactome:R-SSC-5213460|Reactome:R-SSC-5675482|Reactome:R-SSC-8849932|Reactome:R-SSC-8980692|Reactome:R-SSC-9013026|Reactome:R-SSC-9013106|Reactome:R-XTR-382556|Reactome:R-XTR-9840373
sp|O75477|ERLN1_HUMAN,69b6eb52050aa11440be2e0feb5d12f7,348,TMHMM,TMhelix,Region of a membrane-bound protein predicted to be embedded in the membrane.,7,26,-,T,4/11/25,-,-,-,-
sp|O75477|ERLN1_HUMAN,69b6eb52050aa11440be2e0feb5d12f7,348,MobiDBLite,mobidb-lite,consensus disorder prediction,325,348,-,T,4/11/25,-,-,-,-
sp|O75477|ERLN1_HUMAN,69b6eb52050aa11440be2e0feb5d12f7,348,SMART,SM00244,PHB_4,23,189,1.60E-37,T,4/11/25,IPR001107,Band 7 domain,-,Reactome:R-BTA-382556|Reactome:R-BTA-5213460|Reactome:R-BTA-5673000|Reactome:R-BTA-5675482|Reactome:R-BTA-8849932|Reactome:R-BTA-8949664|Reactome:R-BTA-8980692|Reactome:R-BTA-9013106|Reactome:R-BTA-9696264|Reactome:R-BTA-9696273|Reactome:R-BTA-9840373|Reactome:R-CEL-2672351|Reactome:R-CEL-373753|Reactome:R-CEL-382556|Reactome:R-CEL-5673000|Reactome:R-CEL-6798695|Reactome:R-CEL-8949664|Reactome:R-CEL-8980692|Reactome:R-CEL-9013026|Reactome:R-CEL-9013406|Reactome:R-CEL-9013407|Reactome:R-DME-2672351|Reactome:R-DME-373753|Reactome:R-DME-5673000|Reactome:R-DME-6798695|Reactome:R-DME-8849932|Reactome:R-DME-8949664|Reactome:R-DME-8980692|Reactome:R-DME-9013026|Reactome:R-DME-9013406|Reactome:R-DME-9013407|Reactome:R-DRE-382556|Reactome:R-DRE-8849932|Reactome:R-DRE-8980692|Reactome:R-DRE-9696264|Reactome:R-DRE-9696273|Reactome:R-HSA-2672351|Reactome:R-HSA-373753|Reactome:R-HSA-382556|Reactome:R-HSA-5213460|Reactome:R-HSA-5655302|Reactome:R-HSA-5673000|Reactome:R-HSA-5675482|Reactome:R-HSA-5678895|Reactome:R-HSA-6798695|Reactome:R-HSA-6802946|Reactome:R-HSA-6802955|Reactome:R-HSA-8849932|Reactome:R-HSA-8853336|Reactome:R-HSA-8949664|Reactome:R-HSA-8980692|Reactome:R-HSA-9013026|Reactome:R-HSA-9013106|Reactome:R-HSA-9013148|Reactome:R-HSA-9013406|Reactome:R-HSA-9013407|Reactome:R-HSA-9013409|Reactome:R-HSA-9649948|Reactome:R-HSA-9696264|Reactome:R-HSA-9696273|Reactome:R-HSA-9840373|Reactome:R-MMU-2672351|Reactome:R-MMU-373753|Reactome:R-MMU-382556|Reactome:R-MMU-5213460|Reactome:R-MMU-5673000|Reactome:R-MMU-5675482|Reactome:R-MMU-6798695|Reactome:R-MMU-8849932|Reactome:R-MMU-8949664|Reactome:R-MMU-8980692|Reactome:R-MMU-9013026|Reactome:R-MMU-9013106|Reactome:R-MMU-9013406|Reactome:R-MMU-9013407|Reactome:R-MMU-9696264|Reactome:R-MMU-9696273|Reactome:R-MMU-9840373|Reactome:R-RNO-373753|Reactome:R-RNO-382556|Reactome:R-RNO-5213460|Reactome:R-RNO-5673000|Reactome:R-RNO-5675482|Reactome:R-RNO-8849932|Reactome:R-RNO-8949664|Reactome:R-RNO-8980692|Reactome:R-RNO-9013026|Reactome:R-RNO-9696264|Reactome:R-RNO-9696273|Reactome:R-RNO-9840373|Reactome:R-SSC-5213460|Reactome:R-SSC-5675482|Reactome:R-SSC-8849932|Reactome:R-SSC-8980692|Reactome:R-SSC-9013026|Reactome:R-SSC-9013106|Reactome:R-XTR-382556|Reactome:R-XTR-9840373
sp|Q19AV6|ZSWM7_HUMAN,29a35b3597f4e213bbe6d7838c6cdf46,140,ProSiteProfiles,PS50966,Zinc finger SWIM-type profile.,66,114,10.101061,T,4/11/25,IPR007527,"Zinc finger, SWIM-type",GO:0008270(InterPro),Reactome:R-HSA-166058|Reactome:R-HSA-2871796|Reactome:R-HSA-9010553|Reactome:R-HSA-933542|Reactome:R-HSA-975138|Reactome:R-HSA-975871|Reactome:R-MMU-166058|Reactome:R-MMU-2871796|Reactome:R-MMU-975138|Reactome:R-MMU-975871|Reactome:R-RNO-166058|Reactome:R-RNO-2871796|Reactome:R-RNO-975138|Reactome:R-RNO-975871
sp|Q19AV6|ZSWM7_HUMAN,29a35b3597f4e213bbe6d7838c6cdf46,140,PANTHER,PTHR28498,ZINC FINGER SWIM DOMAIN-CONTAINING PROTEIN 7,7,134,2.30E-47,T,4/11/25,-,-,GO:0000724(PANTHER)|GO:0097196(PANTHER),-
sp|Q19AV6|ZSWM7_HUMAN,29a35b3597f4e213bbe6d7838c6cdf46,140,Pfam,PF04434,SWIM zinc finger,76,112,0.0048,T,4/11/25,IPR007527,"Zinc finger, SWIM-type",GO:0008270(InterPro),Reactome:R-HSA-166058|Reactome:R-HSA-2871796|Reactome:R-HSA-9010553|Reactome:R-HSA-933542|Reactome:R-HSA-975138|Reactome:R-HSA-975871|Reactome:R-MMU-166058|Reactome:R-MMU-2871796|Reactome:R-MMU-975138|Reactome:R-MMU-975871|Reactome:R-RNO-166058|Reactome:R-RNO-2871796|Reactome:R-RNO-975138|Reactome:R-RNO-975871
sp|Q9NQM4|DAAF6_HUMAN,db906589b8917cb6c4dfb30fb17fd32d,214,PANTHER,PTHR21083,TWISTER,27,213,1.10E-62,T,4/11/25,IPR026697,Dynein axonemal assembly factor 6,GO:0005737(PANTHER)|GO:0030317(PANTHER)|GO:0045505(PANTHER)|GO:0051087(InterPro)|GO:0070286(InterPro)|GO:0070286(PANTHER),-
sp|Q9NQM4|DAAF6_HUMAN,db906589b8917cb6c4dfb30fb17fd32d,214,Pfam,PF18201,PIH1 CS-like domain,110,203,0.0091,T,4/11/25,IPR041442,"PIH1D1/2/3, CS-like domain",-,-
sp|Q9NQM4|DAAF6_HUMAN,db906589b8917cb6c4dfb30fb17fd32d,214,MobiDBLite,mobidb-lite,consensus disorder prediction,1,22,-,T,4/11/25,-,-,-,-
sp|Q9NQM4|DAAF6_HUMAN,db906589b8917cb6c4dfb30fb17fd32d,214,MobiDBLite,mobidb-lite,consensus disorder prediction,34,68,-,T,4/11/25,-,-,-,-
sp|Q8WZ19|BACD1_HUMAN,ceef5570e4b5fb134f69caa5c5a06899,329,Pfam,PF02214,BTB/POZ domain,43,133,7.30E-16,T,4/11/25,IPR003131,Potassium channel tetramerisation-type BTB domain,GO:0051260(InterPro),Reactome:R-BTA-1296072|Reactome:R-BTA-5576894|Reactome:R-BTA-8951664|Reactome:R-BTA-983168|Reactome:R-CEL-381676|Reactome:R-CEL-5576890|Reactome:R-CEL-8951664|Reactome:R-CEL-983168|Reactome:R-DME-1296072|Reactome:R-DME-381676|Reactome:R-DME-5576890|Reactome:R-DME-5576894|Reactome:R-DME-8866904|Reactome:R-DRE-8951664|Reactome:R-DRE-9696264|Reactome:R-DRE-9696270|Reactome:R-DRE-983168|Reactome:R-GGA-1296072|Reactome:R-GGA-381676|Reactome:R-GGA-8951664|Reactome:R-GGA-9696264|Reactome:R-GGA-9696270|Reactome:R-GGA-983168|Reactome:R-HSA-1296072|Reactome:R-HSA-381676|Reactome:R-HSA-5576890|Reactome:R-HSA-5576894|Reactome:R-HSA-8866904|Reactome:R-HSA-8931987|Reactome:R-HSA-8951664|Reactome:R-HSA-9013148|Reactome:R-HSA-9018519|Reactome:R-HSA-9696264|Reactome:R-HSA-9696270|Reactome:R-HSA-983168|Reactome:R-MMU-1296072|Reactome:R-MMU-381676|Reactome:R-MMU-5576890|Reactome:R-MMU-5576894|Reactome:R-MMU-8866904|Reactome:R-MMU-8951664|Reactome:R-MMU-9696264|Reactome:R-MMU-9696270|Reactome:R-MMU-983168|Reactome:R-RNO-1296072|Reactome:R-RNO-381676|Reactome:R-RNO-5576890|Reactome:R-RNO-5576894|Reactome:R-RNO-8866904|Reactome:R-RNO-8951664|Reactome:R-RNO-9696264|Reactome:R-RNO-9696270|Reactome:R-RNO-983168|Reactome:R-XTR-9696264
